TimeStampDate,AltitudeQnh_meters,AirSpeed_knots,VerticalSpeed_m/s,NormalAcceleration_g,MotorPower_volts
678,84.81,6.0,6.99,1.9,2
679,92.39,1.3,4.01,1.8,5
680,58.76,9.2,5.85,0.6,10
681,64.8,3.5,-0.35,0.6,12
682,65.3,8.2,5.24,1.4,4
683,76.48,0.1,0.18,0.8,9
684,57.25,8.2,4.81,1.6,8
685,52.23,2.3,3.35,0.6,2
686,84.83,2.4,-1.88,1.3,0
687,51.44,8.2,2.7,1.1,6
688,75.3,9.5,-1.63,1.5,12
689,58.69,5.6,4.29,0.4,10
690,93.62,1.9,6.62,0.1,0
691,55.92,1.0,2.2,0.7,11
692,68.89,2.4,8.67,1.0,10
693,84.76,4.0,-9.29,0.6,2
694,64.29,7.9,-1.42,0.8,1
695,99.94,1.4,-7.86,1.4,4
696,81.8,3.7,-9.17,1.5,1
697,76.36,5.5,-2.44,0.3,11
698,56.45,9.3,-0.82,2.0,8
699,56.62,1.6,-0.71,1.0,0
700,68.99,9.7,7.68,1.9,7
701,76.16,4.6,-7.78,0.2,6
702,58.0,8.2,8.25,1.2,6
703,57.8,3.9,0.81,1.9,12
704,96.03,4.5,9.93,0.7,9
705,61.78,8.7,-5.31,1.6,12
706,59.64,8.6,-8.29,0.1,6
707,88.22,7.0,-2.42,1.5,4
708,72.8,6.2,-7.96,1.2,2
709,63.38,5.8,-8.91,1.0,9
710,71.25,1.7,7.58,0.5,10
711,59.25,1.4,2.22,1.5,5
712,84.92,1.3,0.57,1.1,6
713,93.76,7.9,-8.38,0.4,2
714,50.2,2.1,8.08,1.4,3
715,93.83,3.4,-3.21,0.8,8
716,82.6,1.3,-9.99,1.3,11
717,86.33,9.5,9.95,1.6,12
718,52.97,7.5,-2.72,1.2,5
719,66.57,4.4,9.18,1.2,7
720,78.88,1.4,3.86,1.0,0
721,76.94,5.4,0.48,0.4,10
722,65.79,9.9,-8.98,1.8,9
723,66.33,3.5,-2.39,0.9,3
724,84.41,0.3,8.01,0.6,4
725,69.11,9.6,-6.64,0.5,9
726,79.44,8.4,3.24,0.6,7
727,58.07,0.1,2.74,1.8,0
728,97.44,7.2,2.19,0.9,4
729,63.53,9.1,-6.02,0.5,7
730,89.33,8.2,1.87,0.7,4
731,81.24,3.2,-5.68,1.2,3
732,93.29,0.1,-5.9,1.3,0
733,88.7,4.7,7.89,1.0,10
734,82.49,1.2,5.79,1.2,1
735,78.34,5.1,7.89,1.7,7
736,58.84,7.8,9.97,1.5,9
737,51.8,5.2,-4.99,1.6,1
738,93.53,5.8,0.35,1.0,12
739,59.22,8.9,-8.89,0.6,0
740,97.29,1.4,-1.89,0.5,0
741,83.6,6.9,-4.39,0.2,10
742,57.55,0.8,0.69,0.1,2
743,83.58,2.4,8.21,0.7,4
744,66.8,6.6,-7.7,1.8,0
745,55.44,9.9,-3.38,0.4,0
746,63.84,8.1,-2.66,1.6,11
747,95.92,6.2,-5.34,1.1,8
748,81.51,8.1,-6.21,0.6,6
749,78.6,1.4,-9.99,0.7,2
750,99.68,8.4,1.18,1.3,8
751,55.9,5.1,9.74,2.0,1
752,76.74,9.3,-5.7,0.5,4
753,81.52,2.4,8.54,2.0,9
754,67.34,7.2,-4.3,0.3,2
755,53.12,5.2,0.58,1.0,1
756,71.86,7.6,4.52,1.3,9
757,57.67,9.9,-0.94,0.5,0
758,59.55,7.6,7.63,1.7,2
759,88.95,6.0,-5.19,1.2,4
760,65.06,0.5,3.3,1.4,1
761,84.69,1.4,3.18,0.0,5
762,71.0,2.8,1.65,0.4,11
763,90.82,9.7,-6.18,0.1,10
764,57.8,9.6,0.61,1.9,9
765,73.75,5.7,-4.96,2.0,7
766,93.56,8.9,-6.58,1.8,2
767,56.9,4.7,-5.6,1.8,0
768,64.23,0.4,-3.84,2.0,1
769,71.3,7.9,5.51,1.0,6
770,65.63,4.9,9.85,1.5,4
771,71.43,8.4,-0.25,0.8,2
772,69.35,9.7,-2.58,1.5,5
773,85.19,7.7,-5.19,1.6,2
774,93.3,4.8,2.27,1.1,7
775,62.71,8.2,-5.72,0.2,5
776,80.55,3.5,-6.7,0.5,10
777,65.8,7.6,-3.82,0.1,4
778,55.73,2.9,-3.42,1.8,1
779,96.76,4.1,-1.85,0.0,10
780,94.36,8.7,4.21,1.7,6
781,78.32,5.3,-2.94,0.4,1
782,57.53,4.5,2.19,0.6,3
783,87.04,6.2,2.19,2.0,9
784,71.41,2.3,6.67,0.3,8
785,98.45,9.0,-9.28,1.4,1
786,98.12,9.5,9.8,2.0,0
787,89.2,5.1,4.33,1.2,5
788,55.88,1.1,-9.64,0.4,10
789,94.3,7.2,-7.36,0.8,1
790,60.19,1.6,-7.3,0.0,8
791,67.07,1.5,-9.03,0.1,10
792,97.29,4.4,5.36,0.4,6
793,66.59,5.9,5.14,1.9,1
794,89.4,9.3,-7.6,0.4,8
795,83.75,4.0,0.36,1.4,1
796,81.23,0.8,2.46,1.5,0
797,96.75,2.4,3.37,0.8,3
798,67.07,4.9,-6.4,1.5,4
799,72.88,3.4,0.48,1.6,8
800,52.62,7.8,-0.99,0.2,4
801,60.04,9.4,4.63,0.0,12
802,57.66,0.1,4.59,0.3,4
803,77.91,5.2,-0.23,0.9,3
804,73.19,2.6,8.04,1.7,0
805,58.24,7.3,-0.65,1.2,0
806,69.14,9.1,-1.88,1.1,10
807,84.8,6.5,-2.08,0.3,12
808,90.06,0.2,1.08,2.0,7
809,81.33,5.7,-0.96,1.9,11
810,60.26,0.5,-4.19,0.1,3
811,86.02,2.7,-2.72,2.0,11
812,53.76,1.6,4.72,1.6,3
813,71.58,2.5,-2.21,1.2,2
814,73.68,0.4,-9.05,1.0,12
815,83.22,4.1,2.28,0.6,0
816,50.58,5.9,6.48,1.8,12
817,97.41,4.6,-2.3,0.9,7
818,76.6,3.1,2.29,1.1,2
819,96.21,7.6,-1.66,1.0,0
820,56.71,2.5,-1.66,0.5,0
821,55.58,4.1,4.11,1.0,11
822,51.12,3.0,-5.62,2.0,1
823,95.64,7.0,-4.65,0.4,10
824,61.1,7.5,-3.76,1.0,8
825,84.37,5.0,-5.58,0.8,10
826,84.26,5.1,-2.74,0.9,11
827,74.24,8.4,3.01,1.6,6
828,95.85,6.2,2.29,1.9,0
829,60.69,2.8,1.97,1.0,4
830,90.74,1.2,2.61,0.6,7
831,75.1,8.3,1.73,2.0,4
832,62.16,1.2,-8.57,1.2,3
833,94.36,2.3,-0.7,1.0,11
834,54.25,8.8,3.14,1.0,2
835,88.68,8.5,6.4,0.9,6
836,96.32,8.0,6.59,1.8,12
837,76.06,1.7,5.9,1.3,3
838,65.26,8.5,-0.43,0.4,9
839,96.09,0.0,-7.39,1.8,4
840,71.21,6.5,-1.31,1.9,2
841,92.52,0.3,-8.85,0.9,7
842,79.95,8.0,8.51,1.0,1
843,63.66,6.1,8.7,0.5,7
844,55.71,2.9,2.12,1.9,6
845,56.29,9.0,-6.39,0.3,0
846,57.22,1.5,-0.84,1.6,10
847,70.29,8.8,-4.78,1.4,0
848,98.99,0.4,-5.57,1.8,10
849,96.49,5.0,2.8,1.2,9
850,83.8,1.4,0.83,1.4,2
851,72.24,4.7,-3.51,0.9,10
852,71.75,0.6,-0.08,1.8,3
853,55.34,2.2,6.15,0.1,2
854,85.69,5.9,-7.3,0.6,3
855,83.33,3.7,0.24,2.0,3
856,87.72,2.6,8.67,1.1,10
857,99.86,8.9,-2.17,0.6,5
858,79.12,4.4,-1.14,0.2,2
859,68.35,8.6,-7.06,0.7,0
860,91.64,4.2,4.44,0.0,5
861,73.85,8.5,-8.03,0.0,3
862,78.11,5.2,-6.37,0.0,2
863,72.77,9.3,2.76,0.7,12
864,69.9,1.3,-2.58,1.2,7
865,85.04,5.4,4.52,1.9,8
866,91.19,10.0,5.32,0.3,0
867,98.84,1.7,3.83,1.6,0
868,99.46,2.6,-2.21,0.7,6
869,96.82,1.4,-3.89,0.2,8
870,82.37,3.5,-4.73,1.6,3
871,55.15,8.6,2.73,0.9,9
872,56.2,5.4,9.93,0.3,12
873,64.37,9.1,-1.19,0.8,0
874,69.04,6.0,4.22,0.6,0
875,57.55,0.1,1.5,1.0,7
876,79.18,0.3,-2.78,1.9,9
877,69.05,3.1,9.25,1.5,2
878,62.63,3.0,6.46,1.8,6
879,66.55,2.6,2.28,0.1,2
880,50.7,7.1,-9.17,1.0,3
881,97.49,7.4,7.63,1.8,0
882,77.58,8.7,3.49,1.5,8
883,88.78,4.1,-5.49,1.1,0
884,66.31,5.0,9.45,1.6,5
885,80.33,8.0,-8.58,2.0,10
886,73.65,2.5,-5.45,0.7,4
887,69.07,4.7,-5.79,1.0,6
888,90.38,1.5,-4.99,0.2,3
889,78.72,3.0,2.03,1.5,2
890,96.43,5.5,-1.81,1.5,4
891,80.76,4.6,8.87,1.8,9
892,70.19,5.0,-8.11,1.5,12
893,71.91,1.1,8.11,0.7,5
894,63.83,0.8,-3.59,1.3,7
895,56.61,3.7,-0.86,0.4,3
896,57.43,5.7,-0.41,1.1,0
897,54.75,0.3,1.42,1.2,11
898,88.77,9.8,-1.48,1.8,3
899,55.41,1.5,-5.5,1.9,6
900,63.11,5.8,-7.4,1.8,8
901,64.29,2.5,6.86,0.7,2
902,63.07,9.6,-2.01,0.3,10
903,93.81,5.2,-7.48,0.1,0
904,62.08,9.8,8.64,0.1,10
905,81.64,4.9,7.36,0.4,5
906,81.64,0.7,-8.27,0.3,0
907,96.85,7.7,0.9,1.1,4
908,67.52,8.4,6.97,0.5,9
909,89.19,6.7,5.38,1.5,2
910,67.63,6.0,0.91,1.1,0
911,68.3,5.9,-1.25,1.4,5
912,95.2,8.7,6.14,1.6,9
913,54.84,5.3,-6.46,0.7,0
914,80.08,4.9,9.87,0.3,10
915,56.5,3.8,7.41,0.3,11
916,81.79,3.8,-4.36,1.5,8
917,92.67,8.9,-8.98,0.8,7
918,78.89,5.0,-9.1,0.0,10
919,75.47,9.8,9.22,0.8,3
920,89.61,5.2,0.81,0.9,12
921,95.62,1.9,-7.24,1.4,1
922,70.58,4.2,-2.85,0.5,11
923,95.72,0.4,0.06,1.1,3
924,57.81,1.4,4.78,0.0,1
925,82.37,9.8,-1.41,1.3,1
926,63.19,4.3,8.52,0.8,9
927,85.1,0.8,-7.65,1.3,4
928,74.22,8.0,7.28,1.9,7
929,83.61,1.1,8.93,0.3,0
930,97.46,2.3,-9.44,0.7,4
931,60.39,1.0,9.24,0.8,4
932,56.73,1.9,3.41,0.6,12
933,85.98,8.5,1.91,1.9,4
934,77.16,7.7,6.33,1.0,8
935,54.92,4.4,-4.51,1.5,6
936,78.86,9.4,-8.01,0.3,4
937,72.04,1.1,-0.92,1.7,12
938,59.76,4.0,-2.87,1.0,11
939,52.62,8.3,-9.32,1.1,0
940,85.3,2.2,1.52,0.0,8
941,96.12,2.0,-7.55,1.7,6
942,53.59,7.4,8.17,1.0,6
943,53.63,0.7,-9.06,1.7,5
944,69.16,4.4,6.9,1.1,0
945,82.03,3.6,-3.97,1.0,6
946,58.99,8.9,7.99,1.5,10
947,55.64,5.2,-4.06,0.1,2
948,99.4,1.3,-7.68,0.1,5
949,56.75,7.4,2.07,0.6,12
950,67.6,8.1,-0.62,0.4,9
951,91.25,3.3,9.42,0.8,4
952,80.72,7.6,-5.2,1.4,1
953,75.76,8.8,-0.72,0.1,1
954,74.73,2.7,5.95,1.0,5
955,64.03,5.3,4.91,1.9,0
956,70.79,6.9,4.54,1.7,9
957,52.72,8.8,1.92,0.3,1
958,74.6,5.4,5.41,0.3,9
959,65.9,3.4,3.17,0.0,7
960,77.32,8.8,-4.51,1.7,10
961,96.64,9.2,-4.55,0.3,4
962,63.07,7.1,4.2,1.2,9
963,50.43,3.5,9.59,1.8,7
964,54.14,1.3,6.13,1.3,8
965,57.92,7.3,-1.26,1.9,2
966,63.15,5.8,2.52,0.2,11
967,74.01,2.2,-0.03,1.5,12
968,85.12,5.3,6.58,0.6,4
969,76.71,6.9,4.63,1.5,1
970,99.6,8.2,2.61,0.5,9
971,84.74,5.8,3.61,1.2,2
972,91.09,3.0,-7.62,1.3,11
973,79.27,2.6,-3.56,1.5,8
974,63.47,7.6,-9.27,0.7,2
975,59.88,2.2,-7.12,1.7,10
976,72.74,3.5,-0.51,0.4,6
977,96.3,7.5,-7.31,0.9,9
978,63.67,0.3,-4.23,1.7,10
979,82.55,4.5,6.26,0.5,8
980,72.56,5.0,3.41,1.1,8
981,66.98,1.9,-1.74,0.4,12
982,56.62,7.6,4.17,1.2,11
983,50.1,9.3,2.79,1.6,8
984,95.11,3.6,6.87,1.0,6
985,60.39,7.4,9.42,0.8,6
986,85.59,3.7,8.93,1.5,0
987,66.14,8.4,6.24,0.6,7
988,60.75,1.7,1.2,0.8,9
989,51.69,8.5,5.22,1.7,10
990,51.81,7.9,-5.48,1.7,5
991,51.65,5.9,0.41,1.4,6
992,98.99,0.5,8.25,1.3,5
993,52.56,4.0,-2.52,1.5,12
994,93.89,9.9,7.17,0.9,8
995,69.62,0.5,-3.51,0.4,0
996,70.85,0.9,-7.07,0.7,0
997,86.59,5.2,8.22,1.0,8
998,50.27,5.7,4.45,0.3,7
999,93.45,2.2,3.96,1.0,8
1000,68.65,8.5,9.41,1.2,7
